start,miny,maxy,center,trend,amplitude,minmaxamplitude,last_point,mina,maxa
1533126600,1533126900,1533131400,1533129900,0.0005399431293483998,0.001146018985446629,0.0005175080645156349,1.1685827840909098,-0.0002071066715534009,0.000310401392962234
1533123300,1533127200,1533130200,1533129300,-9.022727248282649e-05,0.0012061538685267771,0.0010139032258062563,1.1682473863636365,-0.0003615168621704079,0.0006523863636358485
1533128100,1533128400,1533134400,1533132000,0.0007749998448392339,0.0006805148198401781,0.0011568000000001177,1.1688775,-0.00031430000000003843,0.0008425000000000793
1533128400,1533128700,1533130800,1533129900,0.0008921588542061945,0.0006463908018515091,0.001131402932551353,1.168991704545455,-0.00037432815249286653,0.0007570747800584865
1533128700,1533129000,1533131700,1533130800,0.000987215588378664,0.0008691032079305698,0.0011107970674488143,1.1690751704545452,-0.00040227617302040385,0.0007085208944284105
1533129600,1533129900,1533133800,1533132600,0.0010546586998746363,0.0009661087940226652,0.0010961771260997466,1.1691704545454547,-0.00037652536656904265,0.0007196517595307039
1533129900,1533130200,1533135000,1533133800,0.0010815336692131096,0.0008348417523549605,0.0010986633431084413,1.1691998295454546,-0.0003691637096773892,0.0007294996334310522
1533130200,1533131400,1533136500,1533135000,0.0011023859170764662,0.0008708314091468574,0.001101892082111533,1.1692274431818184,-0.0003604093108506845,0.0007414827712608485
1533130500,1533131400,1533136500,1533135300,0.001066760958984795,0.0007364386732892343,0.0010996697947212475,1.1692230681818179,-0.0003274447214072662,0.0007722250733139813
1533130800,1533132300,1533137400,1533135900,0.0009678974250242613,0.0008609479538563095,0.001133762463343757,1.169198011363637,-0.00033077126099780865,0.0008029912023459485
1533131100,1533132600,1533137700,1533136200,0.0008268179934064847,0.0007503306472344452,0.001153766568914989,1.169125284090909,-0.0002923351173018851,0.0008614314516131039
1533135300,1533135600,1533140100,1533138300,-0.0014468171722855046,0.0007467294710500683,0.0014106979472138903,1.1678047159090912,-0.000558859604105244,0.0008518383431086463
1533135600,1533135900,1533140700,1533139200,-0.0015381237870223385,0.0009618917561272986,0.0012409475806452264,1.1677549999999997,-0.00045675403225823533,0.0007841935483869911
1533136500,1533136800,1533138900,1533137400,-0.0015372146982599332,0.0006210336874886243,0.0012276123167151098,1.1677073295454554,-0.0005438073313769554,0.0006838049853381545
1533137700,1533138000,1533142200,1533140700,-0.0017991457860363476,0.0006188405614189415,0.0013290903958944568,1.1673394886363633,-0.0005387641495597739,0.0007903262463346827
1533145200,1533145500,1533150300,1533148800,-0.0014871011765001652,0.0021430968241720016,0.001496915542521653,1.1660573863636363,-0.0005734331378298974,0.0009234824046917556
1533145500,1533145800,1533151200,1533149400,-0.001405567256196136,0.0012376210080707888,0.0015364727272723,1.1660178409090907,-0.0005398818181817555,0.0009965909090905445
1533148500,1533148800,1533151200,1533150300,-0.00021420454217946317,0.001632976190483999,0.0012232785923757205,1.1663935227272721,-0.00045680131964789263,0.000766477272727828
1533148200,1533151500,1533159300,1533156900,-0.0003852840718443081,0.001250056736019333,0.001043159604105517,1.1662957954545456,-0.0005089550586511305,0.0005342045454543864
1533151800,1533152100,1533156900,1533155400,0.0005115340462928814,0.001734568958495627,0.0013215894428149967,1.166844204545455,-0.0004672840909088816,0.000854305351906115
1533152100,1533152400,1533157200,1533155700,0.00042363633829660185,0.0017941967699574095,0.0013488093841633741,1.1667968181818194,-0.00045897067448597006,0.0008898387096774041
1533152400,1533152700,1533157800,1533156000,0.0003394318051493161,0.0018533999413233783,0.0013748856304976798,1.1667478409090921,-0.00045228299120134705,0.0009226026392963327
1533152700,1533153000,1533158400,1533156600,0.0002124999968038237,0.0017493503312404246,0.0016616774193541372,1.1666662500000007,-0.0006956693548377268,0.0009660080645164104
1533153000,1533153300,1533159000,1533156900,0.00012039772669193377,0.0013039174506175133,0.0016230549853371245,1.1665967613636365,-0.0006193269794716683,0.0010037280058654563
1533153300,1533153600,1533159300,1533156900,0.00012954545382112023,0.0011779707549050466,0.0016198680351907414,1.1665878977272728,-0.0005992613636361721,0.0010206066715545692
1533156000,1533156300,1533160500,1533159300,-0.000897386122747141,0.0009367705527246113,0.0012812668621700496,1.1660350568181819,-0.0004321264662754842,0.0008491403958945654
