2018-09-18 18:29:59.456838 Found interval {'miny': 216, 'maxy': 225, 'amplitude': 0.7416585247133274, 'center': 222, 'trend': -0.030353027775894596}
2018-09-18 18:29:59.704275 Found interval {'miny': 229, 'maxy': 238, 'amplitude': 0.6450432815062509, 'center': 235, 'trend': -0.0323290609244266}
2018-09-18 18:30:02.191702 Found interval {'miny': 232, 'maxy': 240, 'amplitude': 0.6868396827212605, 'center': 238, 'trend': -0.039478855034859546}
2018-09-18 18:30:02.444219 Found interval {'miny': 234, 'maxy': 243, 'amplitude': 0.5917191603463686, 'center': 240, 'trend': -0.041353306002846583}
2018-09-18 18:30:03.688948 Found interval {'miny': 239, 'maxy': 248, 'amplitude': 0.26192609676456247, 'center': 245, 'trend': -0.05481728442052345}
2018-09-18 18:30:06.157751 Found interval {'miny': 232, 'maxy': 242, 'amplitude': 0.9383386039855665, 'center': 239, 'trend': -0.022827564348885596}
2018-09-18 18:30:06.416763 Found interval {'miny': 235, 'maxy': 245, 'amplitude': 0.8514834134821858, 'center': 242, 'trend': -0.020954050814130574}
2018-09-18 18:30:06.670976 Found interval {'miny': 235, 'maxy': 246, 'amplitude': 0.7001902651462388, 'center': 243, 'trend': -0.018633421323431643}
2018-09-18 18:30:09.149026 Found interval {'miny': 243, 'maxy': 248, 'amplitude': 1.1935555772114985, 'center': 246, 'trend': -0.009272661910027478}
2018-09-18 18:30:12.144520 Found interval {'miny': 225, 'maxy': 235, 'amplitude': 1.08784914610348, 'center': 232, 'trend': -0.006007614551707542}
2018-09-18 18:30:12.398316 Found interval {'miny': 219, 'maxy': 225, 'amplitude': 1.1290466974515054, 'center': 223, 'trend': -0.010244730827851128}
2018-09-18 18:30:12.657886 Found interval {'miny': 214, 'maxy': 224, 'amplitude': 0.9394084516773604, 'center': 221, 'trend': -0.008686428649204435}
2018-09-18 18:30:12.915883 Found interval {'miny': 214, 'maxy': 222, 'amplitude': 0.8662002490218833, 'center': 220, 'trend': -0.006518629234294682}
2018-09-18 18:30:13.421284 Found interval {'miny': 212, 'maxy': 218, 'amplitude': 0.7301789750882935, 'center': 216, 'trend': 0.00010485817137449769}
2018-09-18 18:30:19.153777 Found interval {'miny': 232, 'maxy': 243, 'amplitude': 0.8815860532524098, 'center': 240, 'trend': 0.020040620506159897}
2018-09-18 18:30:19.400125 Found interval {'miny': 233, 'maxy': 245, 'amplitude': 0.8292213923345015, 'center': 242, 'trend': 0.019326568029778175}
2018-09-18 18:30:19.748289 Found interval {'miny': 233, 'maxy': 246, 'amplitude': 0.7463841182091323, 'center': 242, 'trend': 0.02145381033021657}
2018-09-18 18:30:25.260418 Found interval {'miny': 229, 'maxy': 238, 'amplitude': 0.9661886859644023, 'center': 235, 'trend': 0.017562919022127938}
2018-09-18 18:30:25.513390 Found interval {'miny': 229, 'maxy': 239, 'amplitude': 0.9020517972009651, 'center': 236, 'trend': 0.014838071366007623}
2018-09-18 18:30:25.768382 Found interval {'miny': 230, 'maxy': 239, 'amplitude': 0.9902794824736002, 'center': 236, 'trend': 0.014669372605445694}
2018-09-18 18:30:26.021722 Found interval {'miny': 231, 'maxy': 240, 'amplitude': 1.0282588847592136, 'center': 237, 'trend': 0.015906757832810172}
2018-09-18 18:30:26.277162 Found interval {'miny': 231, 'maxy': 241, 'amplitude': 0.9159785281557162, 'center': 238, 'trend': 0.016542192668456007}
2018-09-18 18:30:26.544012 Found interval {'miny': 230, 'maxy': 243, 'amplitude': 0.5506618491506717, 'center': 239, 'trend': 0.014234307254316276}
2018-09-18 18:30:32.280434 Found interval {'miny': 231, 'maxy': 240, 'amplitude': 1.1300747136523843, 'center': 237, 'trend': -0.004407267433029392}
