start,miny,maxy,center,trend,amplitude,minmaxamplitude,last_point,isgood,state,mina,maxa
383,390,405,401,-0.0014858322399104288,0.0028261015483170867,0.00045645714285669214,1.173893333333333,True,-1,-0.00016431428571395124,0.0002921428571427409
384,391,407,403,-0.0014149990556198413,0.0018376691679915507,0.00048141428571448765,1.1737799999999994,False,0,-0.00024141428571380352,0.0002400000000006841
385,394,416,411,-0.0012608326652175847,0.0015202842653310466,0.0005762142857141494,1.1737208333333335,False,0,-0.0003070476190476068,0.00026916666666654265
386,398,424,421,-0.0007974998309292978,0.0019187044431254977,0.0007669357142860056,1.1738549999999996,False,0,-0.0003619357142855728,0.0004050000000004328
436,437,450,445,0.0006774998963398934,0.000681037206638371,0.00042114285714323074,1.1756749999999996,True,-1,-0.00023221428571496006,0.00018892857142827069
452,453,461,458,-0.0006624999030755718,0.0008211566476027516,0.0005618571428567965,1.1741399999999997,False,0,-0.00021435714285729547,0.000347499999999501
468,472,487,484,0.00034833331924536933,0.0008289381194176746,0.00028339047619045047,1.1748566666666669,False,0,-0.00010124761904754199,0.00018214285714290845
488,489,496,491,-0.00035416665185825064,0.0011444837375175446,0.0002903523809525099,1.1746791666666667,False,0,-0.00012309047619060376,0.00016726190476190617
489,490,499,494,-0.00019499999752765413,0.0012346803700864092,0.0003514285714287668,1.1747375000000002,False,0,-0.00013392857142834115,0.00021750000000042569
499,500,507,504,-0.0013991657536322748,0.0017677004894884143,0.000764199999999704,1.1702591666666673,False,0,-0.00031289047619003084,0.00045130952380967315
500,501,508,505,-0.0017891647575600151,0.0015266800104899417,0.0007556809523809971,1.1697916666666663,True,-1,-0.00031532380952393525,0.00044035714285706185
514,519,534,530,0.0002024999972317395,0.0035925801545629403,0.0007648928571427494,1.1702000000000001,True,-1,-0.0003259642857143952,0.0004389285714283542
515,521,537,533,-0.0002733333265272238,0.003305500911707646,0.0010473142857140515,1.169988333333333,False,0,-0.0005037428571425196,0.0005435714285715321
543,544,550,547,0.0004858332951093465,0.0009410860371760918,0.0006913928571429473,1.1714791666666668,False,0,-0.0002947261904761245,0.0003966666666668228
545,556,584,576,0.0006791665622403435,0.0010013682112247904,0.0005674285714283834,1.171628333333333,True,-1,-0.00019766666666637178,0.00036976190476201154
560,561,579,573,0.0005791666019096297,0.000981645982658473,0.00031627142857157067,1.1716833333333334,True,-1,-0.00013412857142866221,0.00018214285714290845
561,562,578,573,0.0006041665931554261,0.0012326156910957568,0.0003135904761902886,1.171810833333333,False,0,-0.00016549523809506362,0.00014809523809522496
